CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
545.0,78.0,69.6,62.59,37.7,0.0,58.17,2.0
591.0,90.2,80.5,62.59,37.7,0.0,58.17,2.0
591.0,90.2,80.5,62.59,37.7,0.0,58.17,2.0
532.0,95.2,85.4,62.59,37.7,0.0,58.17,2.0
567.0,77.3,69.1,62.59,37.7,0.0,58.17,2.0
568.0,90.7,81.5,62.59,37.7,0.0,58.17,2.0
568.0,90.7,81.5,62.59,37.7,0.0,58.17,2.0
548.0,89.9,80.3,62.59,37.7,0.0,58.17,2.0
553.0,89.0,79.8,62.59,37.7,0.0,58.17,2.0
553.0,89.0,79.8,62.59,37.7,0.0,58.17,2.0
553.0,118.2,106.1,62.59,37.7,0.0,58.17,2.0
553.0,118.2,106.1,62.59,37.7,0.0,58.17,2.0
542.0,90.6,81.3,62.59,37.7,0.0,58.17,2.0
583.0,84.7,76.1,62.59,37.7,0.0,58.17,2.0
583.0,84.7,76.1,62.59,37.7,0.0,58.17,2.0
